,prod_x_item_1,rem_x_item_1,rem_x_item_2,rem_y_item_1,rem_y_item_2,remarks,parameter_range
0,1,1,x,1,x,"zero behaviour of x at origin,no feedback,",
1,1,1,x,1,y,"zero behaviour of x at origin,not connected,",
2,1,1,x,1,x*y,"zero behaviour of x at origin,no feedback,",
3,1,1,x,1,x^2,"zero behaviour of x at origin,no feedback,",
4,1,1,x,1,y^2,"zero behaviour of x at origin,not connected,",
5,1,1,x,x,y,"zero behaviour of x at origin,no feedback,",
6,1,1,x,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
7,1,1,x,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
8,1,1,x,x,y^2,"zero behaviour of x at origin,no feedback,",
9,1,1,x,y,x*y,"zero behaviour of x at origin,no feedback,",
10,1,1,x,y,x^2,"zero behaviour of x at origin,no feedback,",
11,1,1,x,y,y^2,"zero behaviour of x at origin,not connected,",
12,1,1,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
13,1,1,x,x*y,y^2,"zero behaviour of x at origin,no feedback,",
14,1,1,x,x^2,y^2,"zero behaviour of x at origin,no feedback,",
15,1,1,y,1,x,"zero behaviour of x at origin,",
16,1,1,y,1,y,"zero behaviour of x at origin,no feedback,",
17,1,1,y,1,x*y,"zero behaviour of x at origin,",
18,1,1,y,1,x^2,"zero behaviour of x at origin,",
19,1,1,y,1,y^2,"zero behaviour of x at origin,no feedback,",
20,1,1,y,x,y,"zero behaviour of x at origin,",
21,1,1,y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,",
22,1,1,y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
23,1,1,y,x,y^2,"zero behaviour of x at origin,",
24,1,1,y,y,x*y,"zero behaviour of x at origin,",
25,1,1,y,y,x^2,"zero behaviour of x at origin,",
26,1,1,y,y,y^2,"zero behaviour of x at origin,no feedback,",
27,1,1,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
28,1,1,y,x*y,y^2,"zero behaviour of x at origin,",
29,1,1,y,x^2,y^2,"zero behaviour of x at origin,",
30,1,1,x*y,1,x,"zero behaviour of x at origin,",
31,1,1,x*y,1,y,"zero behaviour of x at origin,no feedback,",
32,1,1,x*y,1,x*y,"zero behaviour of x at origin,",
33,1,1,x*y,1,x^2,"zero behaviour of x at origin,",
34,1,1,x*y,1,y^2,"zero behaviour of x at origin,no feedback,",
35,1,1,x*y,x,y,"zero behaviour of x at origin,",
36,1,1,x*y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,",
37,1,1,x*y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
38,1,1,x*y,x,y^2,"zero behaviour of x at origin,",
39,1,1,x*y,y,x*y,"zero behaviour of x at origin,",
40,1,1,x*y,y,x^2,"zero behaviour of x at origin,",
41,1,1,x*y,y,y^2,"zero behaviour of x at origin,no feedback,",
42,1,1,x*y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,",
43,1,1,x*y,x*y,y^2,"zero behaviour of x at origin,",
44,1,1,x*y,x^2,y^2,"zero behaviour of x at origin,",
45,1,1,x^2,1,x,"zero behaviour of x at origin,no feedback,",
46,1,1,x^2,1,y,"zero behaviour of x at origin,not connected,",
47,1,1,x^2,1,x*y,"zero behaviour of x at origin,no feedback,",
48,1,1,x^2,1,x^2,"zero behaviour of x at origin,no feedback,",
49,1,1,x^2,1,y^2,"zero behaviour of x at origin,not connected,",
50,1,1,x^2,x,y,"zero behaviour of x at origin,no feedback,",
51,1,1,x^2,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
52,1,1,x^2,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
53,1,1,x^2,x,y^2,"zero behaviour of x at origin,no feedback,",
54,1,1,x^2,y,x*y,"zero behaviour of x at origin,no feedback,",
55,1,1,x^2,y,x^2,"zero behaviour of x at origin,no feedback,",
56,1,1,x^2,y,y^2,"zero behaviour of x at origin,not connected,",
57,1,1,x^2,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,",
58,1,1,x^2,x*y,y^2,"zero behaviour of x at origin,no feedback,",
59,1,1,x^2,x^2,y^2,"zero behaviour of x at origin,no feedback,",
60,1,1,y^2,1,x,"zero behaviour of x at origin,",
61,1,1,y^2,1,y,"zero behaviour of x at origin,no feedback,",
62,1,1,y^2,1,x*y,"zero behaviour of x at origin,",
63,1,1,y^2,1,x^2,"zero behaviour of x at origin,",
64,1,1,y^2,1,y^2,"zero behaviour of x at origin,no feedback,",
65,1,1,y^2,x,y,"zero behaviour of x at origin,",
