,prod_x_item_1,rem_x_item_1,rem_x_item_2,rem_x_item_3,rem_y_item_1,remarks
0,1,1,x,y,1,"zero behaviour of x at origin,no feedback,"
1,1,1,x,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
2,1,1,x,y,y,"zero behaviour of x at origin,no feedback,"
3,1,1,x,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
4,1,1,x,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
5,1,1,x,y,y^2,"zero behaviour of x at origin,no feedback,"
6,1,1,x,x*y,1,"zero behaviour of x at origin,no feedback,"
7,1,1,x,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
8,1,1,x,x*y,y,"zero behaviour of x at origin,no feedback,"
9,1,1,x,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
10,1,1,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
11,1,1,x,x*y,y^2,"zero behaviour of x at origin,no feedback,"
12,1,1,x,x^2,1,"zero behaviour of x at origin,not connected,"
13,1,1,x,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
14,1,1,x,x^2,y,"zero behaviour of x at origin,not connected,"
15,1,1,x,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
16,1,1,x,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
17,1,1,x,x^2,y^2,"zero behaviour of x at origin,not connected,"
18,1,1,x,y^2,1,"zero behaviour of x at origin,no feedback,"
19,1,1,x,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
20,1,1,x,y^2,y,"zero behaviour of x at origin,no feedback,"
21,1,1,x,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
22,1,1,x,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
23,1,1,x,y^2,y^2,"zero behaviour of x at origin,no feedback,"
24,1,1,y,x*y,1,"zero behaviour of x at origin,no feedback,"
25,1,1,y,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
26,1,1,y,x*y,y,"zero behaviour of x at origin,no feedback,"
27,1,1,y,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
28,1,1,y,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
29,1,1,y,x*y,y^2,"zero behaviour of x at origin,no feedback,"
30,1,1,y,x^2,1,"zero behaviour of x at origin,no feedback,"
