,prod_x_item_1,prod_x_item_2,rem_x_item_1,rem_y_item_1,rem_y_item_2,remarks
0,1,x,1,1,x,"zero behaviour of x at origin,no feedback,"
1,1,x,1,1,y,"zero behaviour of x at origin,not connected,"
2,1,x,1,1,x*y,"zero behaviour of x at origin,no feedback,"
3,1,x,1,1,x^2,"zero behaviour of x at origin,no feedback,"
4,1,x,1,1,y^2,"zero behaviour of x at origin,not connected,"
5,1,x,1,x,y,"zero behaviour of x at origin,no feedback,"
6,1,x,1,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
7,1,x,1,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
8,1,x,1,x,y^2,"zero behaviour of x at origin,no feedback,"
9,1,x,1,y,x*y,"zero behaviour of x at origin,no feedback,"
10,1,x,1,y,x^2,"zero behaviour of x at origin,no feedback,"
11,1,x,1,y,y^2,"zero behaviour of x at origin,not connected,"
12,1,x,1,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
13,1,x,1,x*y,y^2,"zero behaviour of x at origin,no feedback,"
14,1,x,1,x^2,y^2,"zero behaviour of x at origin,no feedback,"
15,1,x,x,1,x,"zero behaviour of x at origin,no feedback,"
16,1,x,x,1,y,"zero behaviour of x at origin,not connected,"
17,1,x,x,1,x*y,"zero behaviour of x at origin,no feedback,"
18,1,x,x,1,x^2,"zero behaviour of x at origin,no feedback,"
19,1,x,x,1,y^2,"zero behaviour of x at origin,not connected,"
20,1,x,x,x,y,"zero behaviour of x at origin,no feedback,"
21,1,x,x,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
22,1,x,x,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
23,1,x,x,x,y^2,"zero behaviour of x at origin,no feedback,"
24,1,x,x,y,x*y,"zero behaviour of x at origin,no feedback,"
25,1,x,x,y,x^2,"zero behaviour of x at origin,no feedback,"
26,1,x,x,y,y^2,"zero behaviour of x at origin,not connected,"
27,1,x,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
28,1,x,x,x*y,y^2,"zero behaviour of x at origin,no feedback,"
29,1,x,x,x^2,y^2,"zero behaviour of x at origin,no feedback,"
30,1,x,y,1,x,"0 is not stable,"
31,1,x,y,1,y,"no feedback,"
32,1,x,y,1,x*y,"0 is not stable,"
33,1,x,y,1,x^2,"0 is not stable,"
34,1,x,y,1,y^2,"no feedback,"
35,1,x,y,x,y,"0 is not stable,"
36,1,x,y,x,x*y,"x=0 is a line of fixed points,"
37,1,x,y,x,x^2,"x=0 is a line of fixed points,"
38,1,x,y,x,y^2,"0 is not stable,"
39,1,x,y,y,x*y,"0 is not stable,"
40,1,x,y,y,x^2,"0 is not stable,"
41,1,x,y,y,y^2,"no feedback,"
42,1,x,y,x*y,x^2,"x=0 is a line of fixed points,"
43,1,x,y,x*y,y^2,"0 is not stable,"
44,1,x,y,x^2,y^2,"0 is not stable,"
45,1,x,x*y,1,x,"0 is not stable,"
46,1,x,x*y,1,y,"no feedback,"
47,1,x,x*y,1,x*y,"0 is not stable,"
48,1,x,x*y,1,x^2,"0 is not stable,"
49,1,x,x*y,1,y^2,"no feedback,"
50,1,x,x*y,x,y,"0 is not stable,"
51,1,x,x*y,x,x*y,"x=0 is a line of fixed points,"
52,1,x,x*y,x,x^2,"x=0 is a line of fixed points,"
53,1,x,x*y,x,y^2,"0 is not stable,"
54,1,x,x*y,y,x*y,"0 is not stable,"
55,1,x,x*y,y,x^2,"0 is not stable,"
56,1,x,x*y,y,y^2,"no feedback,"
57,1,x,x*y,x*y,x^2,"x=0 is a line of fixed points,"
58,1,x,x*y,x*y,y^2,"0 is not stable,"
59,1,x,x*y,x^2,y^2,"0 is not stable,"
60,1,x,x^2,1,x,"no feedback,"
61,1,x,x^2,1,y,"not connected,"
62,1,x,x^2,1,x*y,"no feedback,"
63,1,x,x^2,1,x^2,"no feedback,"
64,1,x,x^2,1,y^2,"not connected,"
65,1,x,x^2,x,y,"no feedback,"
66,1,x,x^2,x,x*y,"x=0 is a line of fixed points,no feedback,"
67,1,x,x^2,x,x^2,"x=0 is a line of fixed points,no feedback,"
68,1,x,x^2,x,y^2,"no feedback,"
69,1,x,x^2,y,x*y,"no feedback,"
70,1,x,x^2,y,x^2,"no feedback,"
71,1,x,x^2,y,y^2,"not connected,"
72,1,x,x^2,x*y,x^2,"x=0 is a line of fixed points,no feedback,"
73,1,x,x^2,x*y,y^2,"no feedback,"
74,1,x,x^2,x^2,y^2,"no feedback,"
75,1,x,y^2,1,x,"0 is not stable,"
76,1,x,y^2,1,y,"no feedback,"
77,1,x,y^2,1,x*y,"0 is not stable,"
78,1,x,y^2,1,x^2,"0 is not stable,"
79,1,x,y^2,1,y^2,"no feedback,"
80,1,x,y^2,x,y,"0 is not stable,"
81,1,x,y^2,x,x*y,"x=0 is a line of fixed points,"
82,1,x,y^2,x,x^2,"x=0 is a line of fixed points,"
83,1,x,y^2,x,y^2,"0 is not stable,"
84,1,x,y^2,y,x*y,"0 is not stable,"
85,1,x,y^2,y,x^2,"0 is not stable,"
86,1,x,y^2,y,y^2,"no feedback,"
87,1,x,y^2,x*y,x^2,"x=0 is a line of fixed points,"
88,1,x,y^2,x*y,y^2,"0 is not stable,"
89,1,x,y^2,x^2,y^2,"0 is not stable,"
90,1,y,1,1,x,"zero behaviour of x at origin,"
91,1,y,1,1,y,"zero behaviour of x at origin,no feedback,"
