,prod_x_item_1,prod_x_item_2,rem_x_item_1,prod_y_item_1,rem_y_item_1,remarks
0,1,x,1,1,1,"zero behaviour of x at origin,zero behaviour of y at origin,not connected,"
1,1,x,1,1,x,"zero behaviour of x at origin,no feedback,"
2,1,x,1,1,y,"zero behaviour of x at origin,not connected,"
3,1,x,1,1,x*y,"zero behaviour of x at origin,no feedback,"
4,1,x,1,1,x^2,"zero behaviour of x at origin,no feedback,"
5,1,x,1,1,y^2,"zero behaviour of x at origin,not connected,"
6,1,x,1,x,1,"zero behaviour of x at origin,no feedback,"
7,1,x,1,x,x,"zero behaviour of x at origin,zero behaviour of y at origin,x=0 is a line of fixed points,no feedback,"
8,1,x,1,x,y,"zero behaviour of x at origin,no feedback,"
9,1,x,1,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
10,1,x,1,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
11,1,x,1,x,y^2,"zero behaviour of x at origin,no feedback,"
12,1,x,1,y,1,"zero behaviour of x at origin,not connected,"
13,1,x,1,y,x,"zero behaviour of x at origin,no feedback,"
14,1,x,1,y,y,"zero behaviour of x at origin,zero behaviour of y at origin,not connected,"
15,1,x,1,y,x*y,"zero behaviour of x at origin,no feedback,"
16,1,x,1,y,x^2,"zero behaviour of x at origin,no feedback,"
17,1,x,1,y,y^2,"zero behaviour of x at origin,not connected,"
18,1,x,x,1,1,"zero behaviour of x at origin,zero behaviour of y at origin,not connected,"
19,1,x,x,1,x,"zero behaviour of x at origin,no feedback,"
20,1,x,x,1,y,"zero behaviour of x at origin,not connected,"
21,1,x,x,1,x*y,"zero behaviour of x at origin,no feedback,"
22,1,x,x,1,x^2,"zero behaviour of x at origin,no feedback,"
23,1,x,x,1,y^2,"zero behaviour of x at origin,not connected,"
24,1,x,x,x,1,"zero behaviour of x at origin,no feedback,"
25,1,x,x,x,x,"zero behaviour of x at origin,zero behaviour of y at origin,x=0 is a line of fixed points,no feedback,"
26,1,x,x,x,y,"zero behaviour of x at origin,no feedback,"
27,1,x,x,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
28,1,x,x,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
29,1,x,x,x,y^2,"zero behaviour of x at origin,no feedback,"
30,1,x,x,y,1,"zero behaviour of x at origin,not connected,"
31,1,x,x,y,x,"zero behaviour of x at origin,no feedback,"
32,1,x,x,y,y,"zero behaviour of x at origin,zero behaviour of y at origin,not connected,"
33,1,x,x,y,x*y,"zero behaviour of x at origin,no feedback,"
34,1,x,x,y,x^2,"zero behaviour of x at origin,no feedback,"
35,1,x,x,y,y^2,"zero behaviour of x at origin,not connected,"
36,1,x,y,1,1,"zero behaviour of y at origin,no feedback,"
37,1,x,y,1,x,"0 is not stable,"
38,1,x,y,1,y,"no feedback,"
39,1,x,y,1,x*y,"0 is not stable,"
40,1,x,y,1,x^2,"0 is not stable,"
41,1,x,y,1,y^2,"no feedback,"
42,1,x,y,x,1,"0 is not stable,"
43,1,x,y,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
44,1,x,y,x,y,"0 is not stable,"
45,1,x,y,x,x*y,"x=0 is a line of fixed points,"
46,1,x,y,x,x^2,"x=0 is a line of fixed points,"
47,1,x,y,x,y^2,"0 is not stable,"
48,1,x,y,y,1,"no feedback,"
49,1,x,y,y,x,"0 is not stable,"
50,1,x,y,y,y,"zero behaviour of y at origin,no feedback,"
51,1,x,y,y,x*y,"0 is not stable,"
52,1,x,y,y,x^2,"0 is not stable,"
53,1,x,y,y,y^2,"no feedback,"
54,1,x,x*y,1,1,"zero behaviour of y at origin,no feedback,"
55,1,x,x*y,1,x,"0 is not stable,"
56,1,x,x*y,1,y,"no feedback,"
57,1,x,x*y,1,x*y,"0 is not stable,"
58,1,x,x*y,1,x^2,"0 is not stable,"
59,1,x,x*y,1,y^2,"no feedback,"
60,1,x,x*y,x,1,"0 is not stable,"
61,1,x,x*y,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
62,1,x,x*y,x,y,"0 is not stable,"
63,1,x,x*y,x,x*y,"x=0 is a line of fixed points,"
64,1,x,x*y,x,x^2,"x=0 is a line of fixed points,"
65,1,x,x*y,x,y^2,"0 is not stable,"
66,1,x,x*y,y,1,"no feedback,"
67,1,x,x*y,y,x,"0 is not stable,"
68,1,x,x*y,y,y,"zero behaviour of y at origin,no feedback,"
69,1,x,x*y,y,x*y,"0 is not stable,"
70,1,x,x*y,y,x^2,"0 is not stable,"
71,1,x,x*y,y,y^2,"no feedback,"
72,1,x,x^2,1,1,"zero behaviour of y at origin,not connected,"
73,1,x,x^2,1,x,"no feedback,"
74,1,x,x^2,1,y,"not connected,"
75,1,x,x^2,1,x*y,"no feedback,"
76,1,x,x^2,1,x^2,"no feedback,"
77,1,x,x^2,1,y^2,"not connected,"
78,1,x,x^2,x,1,"no feedback,"
79,1,x,x^2,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,no feedback,"
80,1,x,x^2,x,y,"no feedback,"
81,1,x,x^2,x,x*y,"x=0 is a line of fixed points,no feedback,"
82,1,x,x^2,x,x^2,"x=0 is a line of fixed points,no feedback,"
83,1,x,x^2,x,y^2,"no feedback,"
84,1,x,x^2,y,1,"not connected,"
85,1,x,x^2,y,x,"no feedback,"
86,1,x,x^2,y,y,"zero behaviour of y at origin,not connected,"
87,1,x,x^2,y,x*y,"no feedback,"
88,1,x,x^2,y,x^2,"no feedback,"
89,1,x,x^2,y,y^2,"not connected,"
90,1,x,y^2,1,1,"zero behaviour of y at origin,no feedback,"
91,1,x,y^2,1,x,"0 is not stable,"
92,1,x,y^2,1,y,"no feedback,"
93,1,x,y^2,1,x*y,"0 is not stable,"
94,1,x,y^2,1,x^2,"0 is not stable,"
95,1,x,y^2,1,y^2,"no feedback,"
96,1,x,y^2,x,1,"0 is not stable,"
97,1,x,y^2,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
98,1,x,y^2,x,y,"0 is not stable,"
99,1,x,y^2,x,x*y,"x=0 is a line of fixed points,"
100,1,x,y^2,x,x^2,"x=0 is a line of fixed points,"
101,1,x,y^2,x,y^2,"0 is not stable,"
102,1,x,y^2,y,1,"no feedback,"
103,1,x,y^2,y,x,"0 is not stable,"
104,1,x,y^2,y,y,"zero behaviour of y at origin,no feedback,"
105,1,x,y^2,y,x*y,"0 is not stable,"
106,1,x,y^2,y,x^2,"0 is not stable,"
107,1,x,y^2,y,y^2,"no feedback,"
108,1,y,1,1,1,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
109,1,y,1,1,x,"zero behaviour of x at origin,"
110,1,y,1,1,y,"zero behaviour of x at origin,no feedback,"
111,1,y,1,1,x*y,"zero behaviour of x at origin,"
112,1,y,1,1,x^2,"zero behaviour of x at origin,"
113,1,y,1,1,y^2,"zero behaviour of x at origin,no feedback,"
114,1,y,1,x,1,"zero behaviour of x at origin,"
115,1,y,1,x,x,"zero behaviour of x at origin,zero behaviour of y at origin,x=0 is a line of fixed points,"
116,1,y,1,x,y,"zero behaviour of x at origin,"
117,1,y,1,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
118,1,y,1,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
119,1,y,1,x,y^2,"zero behaviour of x at origin,"
120,1,y,1,y,1,"zero behaviour of x at origin,no feedback,"
121,1,y,1,y,x,"zero behaviour of x at origin,"
122,1,y,1,y,y,"zero behaviour of x at origin,zero behaviour of y at origin,no feedback,"
123,1,y,1,y,x*y,"zero behaviour of x at origin,"
124,1,y,1,y,x^2,"zero behaviour of x at origin,"
125,1,y,1,y,y^2,"zero behaviour of x at origin,no feedback,"
126,1,y,x,1,1,"zero behaviour of y at origin,no feedback,"
127,1,y,x,1,x,"0 is not stable,"
128,1,y,x,1,y,"no feedback,"
129,1,y,x,1,x*y,"0 is not stable,"
130,1,y,x,1,x^2,"0 is not stable,"
131,1,y,x,1,y^2,"no feedback,"
132,1,y,x,x,1,"0 is not stable,"
133,1,y,x,x,x,"zero behaviour of y at origin,x=0 is a line of fixed points,"
134,1,y,x,x,y,"0 is not stable,"
135,1,y,x,x,x*y,"x=0 is a line of fixed points,"
136,1,y,x,x,x^2,"x=0 is a line of fixed points,"
137,1,y,x,x,y^2,"0 is not stable,"
138,1,y,x,y,1,"no feedback,"
139,1,y,x,y,x,"0 is not stable,"
140,1,y,x,y,y,"zero behaviour of y at origin,no feedback,"
141,1,y,x,y,x*y,"0 is not stable,"
142,1,y,x,y,x^2,"0 is not stable,"
