,prod_x_item_1,prod_x_item_2,rem_x_item_1,rem_x_item_2,rem_y_item_1,remarks
0,1,x,1,x,1,"zero behaviour of x at origin,not connected,"
1,1,x,1,x,x,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
2,1,x,1,x,y,"zero behaviour of x at origin,not connected,"
3,1,x,1,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
4,1,x,1,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
5,1,x,1,x,y^2,"zero behaviour of x at origin,not connected,"
6,1,x,1,y,1,"zero behaviour of x at origin,no feedback,"
7,1,x,1,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
8,1,x,1,y,y,"zero behaviour of x at origin,no feedback,"
9,1,x,1,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
10,1,x,1,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
11,1,x,1,y,y^2,"zero behaviour of x at origin,no feedback,"
12,1,x,1,x*y,1,"zero behaviour of x at origin,no feedback,"
13,1,x,1,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
14,1,x,1,x*y,y,"zero behaviour of x at origin,no feedback,"
15,1,x,1,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
16,1,x,1,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
17,1,x,1,x*y,y^2,"zero behaviour of x at origin,no feedback,"
18,1,x,1,x^2,1,"zero behaviour of x at origin,not connected,"
19,1,x,1,x^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
20,1,x,1,x^2,y,"zero behaviour of x at origin,not connected,"
21,1,x,1,x^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
22,1,x,1,x^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,"
23,1,x,1,x^2,y^2,"zero behaviour of x at origin,not connected,"
24,1,x,1,y^2,1,"zero behaviour of x at origin,no feedback,"
25,1,x,1,y^2,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
26,1,x,1,y^2,y,"zero behaviour of x at origin,no feedback,"
27,1,x,1,y^2,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
28,1,x,1,y^2,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
29,1,x,1,y^2,y^2,"zero behaviour of x at origin,no feedback,"
30,1,x,x,y,1,"zero behaviour of x at origin,no feedback,"
31,1,x,x,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
32,1,x,x,y,y,"zero behaviour of x at origin,no feedback,"
33,1,x,x,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
34,1,x,x,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
35,1,x,x,y,y^2,"zero behaviour of x at origin,no feedback,"
36,1,x,x,x*y,1,"zero behaviour of x at origin,no feedback,"
37,1,x,x,x*y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
38,1,x,x,x*y,y,"zero behaviour of x at origin,no feedback,"
39,1,x,x,x*y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
