,prod_x_item_1,prod_x_item_2,prod_x_item_3,rem_x_item_1,rem_y_item_1,remarks
0,1,x,y,1,1,"zero behaviour of x at origin,no feedback,"
1,1,x,y,1,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
2,1,x,y,1,y,"zero behaviour of x at origin,no feedback,"
3,1,x,y,1,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
4,1,x,y,1,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
5,1,x,y,1,y^2,"zero behaviour of x at origin,no feedback,"
6,1,x,y,x,1,"zero behaviour of x at origin,no feedback,"
7,1,x,y,x,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
8,1,x,y,x,y,"zero behaviour of x at origin,no feedback,"
9,1,x,y,x,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
10,1,x,y,x,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
11,1,x,y,x,y^2,"zero behaviour of x at origin,no feedback,"
12,1,x,y,y,1,"zero behaviour of x at origin,no feedback,"
13,1,x,y,y,x,"zero behaviour of x at origin,x=0 is a line of fixed points,"
14,1,x,y,y,y,"zero behaviour of x at origin,no feedback,"
15,1,x,y,y,x*y,"zero behaviour of x at origin,x=0 is a line of fixed points,"
16,1,x,y,y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,"
17,1,x,y,y,y^2,"zero behaviour of x at origin,no feedback,"
18,1,x,y,x*y,1,"no feedback,"
19,1,x,y,x*y,x,"x=0 is a line of fixed points,"
20,1,x,y,x*y,y,"no feedback,"
21,1,x,y,x*y,x*y,"x=0 is a line of fixed points,"
22,1,x,y,x*y,x^2,"x=0 is a line of fixed points,"
23,1,x,y,x*y,y^2,"no feedback,"
24,1,x,y,x^2,1,"no feedback,"
25,1,x,y,x^2,x,"x=0 is a line of fixed points,"
26,1,x,y,x^2,y,"no feedback,"
27,1,x,y,x^2,x*y,"x=0 is a line of fixed points,"
28,1,x,y,x^2,x^2,"x=0 is a line of fixed points,"
29,1,x,y,x^2,y^2,"no feedback,"
30,1,x,y,y^2,1,"no feedback,"
31,1,x,y,y^2,x,"x=0 is a line of fixed points,"
32,1,x,y,y^2,y,"no feedback,"
33,1,x,y,y^2,x*y,"x=0 is a line of fixed points,"
34,1,x,y,y^2,x^2,"x=0 is a line of fixed points,"
35,1,x,y,y^2,y^2,"no feedback,"
