x_on_x_prod,x_on_x_rem,y_on_x_prod,y_on_x_rem,x_on_y_prod,x_on_y_rem,y_on_y_prod,y_on_y_rem,model.num
2,0,-1,0,1,0,0,0,A1
2,0,-1,0,2,0,0,0,A2
2,0,-2,0,1,0,0,0,A3
2,0,-2,0,2,0,0,0,A4
2,0,-1,0,0,-1,0,0,A5
2,0,-1,0,0,-2,0,0,A6
2,0,-2,0,0,-1,0,0,A7
2,0,-2,0,0,-2,0,0,A8
2,0,0,1,1,0,0,0,A9
2,0,0,1,2,0,0,0,A10
2,0,0,2,1,0,0,0,A11
2,0,0,2,2,0,0,0,A12
2,0,0,1,0,-1,0,0,A13
2,0,0,1,0,-2,0,0,A14
2,0,0,2,0,-1,0,0,A15
2,0,0,2,0,-2,0,0,A16
2,0,-1,0,1,0,1,0,A1+
2,0,-1,0,1,0,-1,0,A1-
2,0,-1,0,2,0,1,0,A2+
2,0,-1,0,2,0,-1,0,A2-
2,0,-2,0,1,0,1,0,A3+
2,0,-2,0,1,0,-1,0,A3-
2,0,-2,0,2,0,1,0,A4+
2,0,-2,0,2,0,-1,0,A4-
2,0,-1,0,0,-1,0,-1,A5+
2,0,-1,0,0,-1,0,1,A5-
2,0,-1,0,0,-2,0,-1,A6+
2,0,-1,0,0,-2,0,1,A6-
2,0,-2,0,0,-1,0,-1,A7+
2,0,-2,0,0,-1,0,1,A7-
2,0,-2,0,0,-2,0,-1,A8+
2,0,-2,0,0,-2,0,1,A8-
2,0,0,1,1,0,1,0,A9+
2,0,0,1,1,0,-1,0,A9-
2,0,0,1,2,0,1,0,A10+
2,0,0,1,2,0,-1,0,A10-
2,0,0,2,1,0,1,0,A11+
2,0,0,2,1,0,-1,0,A11-
2,0,0,2,2,0,1,0,A12+
2,0,0,2,2,0,-1,0,A12-
2,0,0,1,0,-1,0,-1,A13+
2,0,0,1,0,-1,0,1,A13-
2,0,0,1,0,-2,0,-1,A14+
2,0,0,1,0,-2,0,1,A14-
2,0,0,2,0,-1,0,-1,A15+
2,0,0,2,0,-1,0,1,A15-
2,0,0,2,0,-2,0,-1,A16+
2,0,0,2,0,-2,0,1,A16-
2,0,1,0,-1,0,0,0,B1
2,0,1,0,-2,0,0,0,B2
2,0,2,0,-1,0,0,0,B3
2,0,2,0,-2,0,0,0,B4
2,0,1,0,0,1,0,0,B5
2,0,1,0,0,2,0,0,B6
2,0,2,0,0,1,0,0,B7
2,0,2,0,0,2,0,0,B8
2,0,0,-1,-1,0,0,0,B9
2,0,0,-1,-2,0,0,0,B10
2,0,0,-2,-1,0,0,0,B11
2,0,0,-2,-2,0,0,0,B12
2,0,0,-1,0,1,0,0,B13
2,0,0,-1,0,2,0,0,B14
2,0,0,-2,0,1,0,0,B15
2,0,0,-2,0,2,0,0,B16
2,0,1,0,-1,0,1,0,B1+
2,0,1,0,-1,0,-1,0,B1-
2,0,1,0,-2,0,1,0,B2+
2,0,1,0,-2,0,-1,0,B2-
2,0,2,0,-1,0,1,0,B3+
2,0,2,0,-1,0,-1,0,B3-
2,0,2,0,-2,0,1,0,B4+
2,0,2,0,-2,0,-1,0,B4-
2,0,1,0,0,1,0,-1,B5+
2,0,1,0,0,1,0,1,B5-
2,0,1,0,0,2,0,-1,B6+
2,0,1,0,0,2,0,1,B6-
2,0,2,0,0,1,0,-1,B7+
2,0,2,0,0,1,0,1,B7-
2,0,2,0,0,2,0,-1,B8+
2,0,2,0,0,2,0,1,B8-
2,0,0,-1,-1,0,1,0,B9+
2,0,0,-1,-1,0,-1,0,B9-
2,0,0,-1,-2,0,1,0,B10+
2,0,0,-1,-2,0,-1,0,B10-
2,0,0,-2,-1,0,1,0,B11+
2,0,0,-2,-1,0,-1,0,B11-
2,0,0,-2,-2,0,1,0,B12+
2,0,0,-2,-2,0,-1,0,B12-
2,0,0,-1,0,1,0,-1,B13+
2,0,0,-1,0,1,0,1,B13-
2,0,0,-1,0,2,0,-1,B14+
2,0,0,-1,0,2,0,1,B14-
2,0,0,-2,0,1,0,-1,B15+
2,0,0,-2,0,1,0,1,B15-
2,0,0,-2,0,2,0,-1,B16+
2,0,0,-2,0,2,0,1,B16-
