Source,Target,Action,Mediator,Immune_Process
B,B,Negative,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'nan']"
B,B,Negative,LTa,"[' LN development', 'Cytotoxicity', 'nan']"
B,B,Positive,BAFF,"[' Class switching', 'Antibody production', 'Class switching', 'T independent B activation/IgA production']"
B,B,Positive,IL10,"['Class switching', 'Immunosuppression']"
B,B,Positive,IL6,"[' Antibody production', ' Fever', 'Acute phase response', 'Antibody production', 'Class switching']"
B,B,Positive,IgA,"[' Anti-EC bacteria', ' Antibody production', ' Antifungal', ' Barrier integrity', ' Microbiome tuning of immune response', ' Tolerance', 'T independent B activation/IgA production', 'nan']"
B,B,Positive,IgE,"[' Allergic Inflammation', ' Antibody production', ' Inflammation', ' Type 2', 'Antiparasitic', 'nan']"
B,B,Positive,IgM,"['Antibody production', 'nan']"
B,Basophil,Positive,IgE,"[' Allergic Inflammation', ' Antibody production', ' Antiparasitic', ' Inflammation', ' Type 2', 'Antiparasitic', 'Inflammation']"
B,DC,Negative,IL10,"[' Immunosuppression', 'Chronic antigen stimulation', 'Immunosuppression']"
B,DC,Positive,IgA,"[' Anti-EC bacteria', ' Antibody production', ' Antifungal', ' Barrier integrity', ' Microbiome tuning of immune response', ' Tolerance', 'Anti-inflammatory', 'T independent B activation/IgA production']"
B,DC,Positive,IgE,"[' Allergic Inflammation', ' Antibody production', ' Inflammation', ' Type 2', 'Allergic Inflammation', 'Antiparasitic']"
B,DC,Positive,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'nan']"
B,Endothelial,Positive,LTa,"[' Anti-IC bacteria', ' Chemotaxis', ' Inflammation;Vascular permeability increase', ' LN development', 'Cytotoxicity', 'Type 1']"
B,Eosinophil,Negative,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'nan']"
B,Eosinophil,Positive,IgA,"[' Anti-EC bacteria', ' Antibody production', ' Antifungal', ' Barrier integrity', ' Inflammation', ' Microbiome tuning of immune response', ' Tolerance', 'Antiparasitic', 'T independent B activation/IgA production']"
B,Eosinophil,Positive,IgE,"[' Allergic Inflammation', ' Antibody production', ' Inflammation', ' Type 2', 'Antiparasitic']"
B,Eosinophil,Positive,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Inflammation', ' Type 1', ' Type 2', 'Antibody production', 'Antiparasitic']"
B,Fibroblast,Negative,LTa,"[' LN development', 'Cytotoxicity', 'nan']"
B,Fibroblast,Positive,IL6,"[' Fever', 'Acute phase response', 'nan']"
B,Hepatocyte,Positive,IL6,"[' Fever', 'Acute phase response', 'Fever']"
B,Macrophage,Negative,IL10,"[' Anti-inflammatory', ' Immunosuppression', 'Chronic antigen stimulation', 'Immunosuppression']"
B,Macrophage,Negative,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'nan']"
B,Macrophage,Positive,IL6,"[' Fever', 'Acute phase response', 'Antibacterial']"
B,Macrophage,Positive,IgA,"[' Anti-EC bacteria', ' Antibacterial', ' Antibody production', ' Antifungal', ' Barrier integrity', ' Microbiome tuning of immune response', ' Phagocytosis', ' Tolerance', 'Anti-EC bacteria', 'T independent B activation/IgA production']"
B,Macrophage,Positive,IgE,"[' Allergic Inflammation', ' Antibody production', ' Inflammation', ' Type 2', 'Antiparasitic', 'nan']"
B,Macrophage,Positive,IgG,"[' Anti-EC bacteria', ' Antibacterial', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'Phagocytosis']"
B,Macrophage,Positive,IgM,"['Antibody production', 'nan']"
B,Macrophage,Positive,LTa,"[' Anti-IC bacteria', ' Antiviral', ' LN development', 'Cytotoxicity', 'Type 1']"
B,Mast,Negative,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'nan']"
B,Mast,Positive,IL10,"['Immunosuppression', 'nan']"
B,Mast,Positive,IgE,"[' Allergic Inflammation', ' Antibody production', ' Antiparasitic', ' Inflammation', ' Type 2', 'Allergic Inflammation', 'Antiparasitic']"
B,Mast,Positive,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', ' Vascular permeability increase', 'Antibody production', 'Inflammation']"
B,Monocyte,Positive,IL6,"[' Fever', 'Acute phase response', 'Inflammation']"
B,Monocyte,Positive,LTa,"[' Anti-IC bacteria', ' LN development', 'Cytotoxicity', 'Type 1']"
B,NK,Positive,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Antiviral', ' Cytotoxicity', ' Type 1', ' Type 2', 'ADCC', 'Antibody production']"
B,Neutrophil,Negative,IgG,"[' Anti-EC bacteria', ' Antifungal', ' Type 1', ' Type 2', 'Antibody production', 'nan']"
