"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Hematopoiesis","Differentiate","4: Figure 1.3","Erythroblast (Differentiate) Erythrocyte","false","Differentiate","Erythroblast (Differentiate) Erythrocyte","",""
"","Activate","813: Table Appendix III","41BBL (Activate) B","false","Activate","41BBL (Activate) B","","41BB"
"Antibody production","Secrete","813: Table Appendix III","B (Secrete) BAFF","false","Secrete","B (Secrete) BAFF","",""
"","Survive","288: BTLA contains an ITIM and an ITSM and is expressed on activated T cells and B cells, as well as on some cells of the innate immune system. Unlike other CD28-family members, however, BTLA does not interact with B7 ligands but binds a member of the TNF receptor family; called the herpesvirus entry molecule (HVEM), this receptor is highly expressed on resting T cells and immature dendritic cells. When BTLA and HVEM are co-expressed on the same cell, BTLA utilizes a second mechanism that further inhibits lymphocyte activation. In this configuration, BLTA binds to HVEM and prevents HVEM from binding to alternative partners that would stimulate NF<U+03BA>B-dependent pro-survival signaling pathways downstream of HVEM. Alternatively, when BTLA and HVEM are expressed on different cells, the interaction of these two receptors functions to stimulate the positive pro-survival signal in the HVEM-expressing cell.","B (Survive) DC","false","Survive","B (Survive) DC","BTLA","HVEM"
"T independent B activation/IgA production, Antibody production, Anti-EC bacteria, Antifungal, Microbiome tuning of immune response, Tolerance, Barrier integrity","Secrete","518: Similarly, IgA-producing B lymphocytes are generated in Peyer’s patches and mesenteric lymph nodes, generating plasma cells that accumulate in the lamina propria.; 475: Affinity maturation is seen largely in IgG antibody (as well as in IgA and IgE, which are not shown) coming from mature B cells that have undergone isotype switching and somatic hypermutation to yield higher-affinity antibodies. The; 502: However, the colon, lactating mammary gland, and salivary glands express CCL28 (MEC, mucosal epithelial chemokine), which is a ligand for the receptor CCR10 on gut-primed lymphocytes and attracts IgA-producing B lymphoblasts to these tissues.; 475: Figure 11.24; 476: The secondary antibody response is characterized in its first few days by the production of relatively small amounts of IgM antibody and much larger amounts of IgG antibody, with some IgA and IgE. At the beginning of the secondary response, antibodies are made by memory B cells that were generated in the primary response and have already switched from IgM to another isotype, and that express IgG, IgA, or IgE on their surface.; 466: TFH cells that develop coordinately with TH17 cells promote the production of high-affinity IgG and IgA antibodies by plasma cells that can express CCR6 and thereby localize to sites of type 3 responses in barrier tissues, where they can arm neutrophils and macrophages ‘on-site.’; 506: IgA in the blood is mainly in the form of a monomer (mIgA) that is produced in the bone marrow by plasma cells derived from B cells activated in lymph nodes.; 506: In humans, monomeric and dimeric IgA are both found as two isotypes, IgA1 and IgA2. The ratio of IgA1 to IgA2 varies markedly depending on the tissue, being about 10:1 in the blood and upper respiratory tract, about 3:2 in the small intestine, and 2:3 in the colon... In mice, only one IgA isotype is found, and it is most closely similar to IgA2 in humans.; 424: Monomeric IgA can be produced by plasma cells that differentiate from class-switched B cells in lymph nodes and spleen, and it acts as a neutralizing antibody in extracellular spaces and in the blood.; 524: Figure 12.23; 500: The lamina propria contains many types of immune cells, including IgA-producing plasma cells, conventional CD4 and CD8 T cells with effector and memory phenotypes, innate lymphoid cells, dendritic cells, macrophages, and mast cells.; 522: Presentation of these antigens generates IgA-switched B cells that localize in the lamina propria as IgA-producing plasma cells (right panel). IgA then binds commensal bacteria, altering their gene expression, limiting their access to the epithelium, and blocking their binding to the surface.   And Figure 12.21; 507-508: After activation and differentiation, the resulting IgA-expressing B lymphoblasts express the mucosal homing integrin a4:ß7, as well as the chemokine receptors CCR9 and CCR10, and localize to mucosal tissues by the mechanisms discussed above. Once in the lamina propria, the B cells undergo final differentiation into plasma cells, which synthesize IgA dimers and secrete them into the subepithelial space (Fig. 12.11).; 431: IgA antibodies are synthesized as monomers, which enter blood and extracellular fluids, or they are secreted as dimeric molecules by plasma cells in the lamina propria of various mucosal tissues.; 502: Antigen-specific naive B cells in the follicular areas of Peyer’s patches undergo isotype switching from IgM to IgA production there, but they only differentiate fully into IgA-producing plasma cells once they have returned to the lamina propria.; 544: Figure 13.5; 425: In the mucosal immune system, IgA-secreting plasma cells are found predominantly in the lamina propria, which lies immediately below the basement membrane of many surface epithelia.; 506: The dominant class of antibody in the mucosal immune system is IgA, which is produced locally by plasma cells in the mucosal wall.; 509: In mice, unlike humans, a significant proportion of intestinal IgA is derived from T-cell-independent B-cell activation and class switching. This depends on activation of the innate immune system by the products of commensal microbes and may result from the direct interaction of B cells with conventional dendritic cells and follicular dendritic cells in solitary lymphoid follicles. This antibody production seems to involve lymphocytes of the B-1 subset (see Section 8-9), which arise from precursor B cells in the peritoneal cavity and migrate to the intestinal wall in response to microbial constituents such as lipopolysaccharide.","B (Secrete) IgA","false","Secrete","B (Secrete) IgA","",""
"Antiparasitic, Antibody production, Inflammation, Type 2, Allergic Inflammation","Secrete","464: The response to helminths generates high levels of IgE antibody, induced by IL-4-producing TFH cells that develop in concert with TH2 cells (see Section 9-20).; 475: Affinity maturation is seen largely in IgG antibody (as well as in IgA and IgE, which are not shown) coming from mature B cells that have undergone isotype switching and somatic hypermutation to yield higher-affinity antibodies. The; 373: Those TFH cells producing IL-4 drive B cells to differentiate and produce immunoglobulin IgE, which arms mast cells and basophils for granule release in type 2 responses.; 612: Allergen-specific TH2 cells producing IL-4 and IL-13 drive allergen-specific B cells to produce IgE.; 476: The secondary antibody response is characterized in its first few days by the production of relatively small amounts of IgM antibody and much larger amounts of IgG antibody, with some IgA and IgE. At the beginning of the secondary response, antibodies are made by memory B cells that were generated in the primary response and have already switched from IgM to another isotype, and that express IgG, IgA, or IgE on their surface.; 605: Figure 14.3; 544: Figure 13.5; 603: Figure 14.2","B (Secrete) IgE","false","Secrete","B (Secrete) IgE","",""
"Antibody production, Type 1, Type 2, Anti-EC bacteria, Antifungal","Secrete","373: TFH cells producing IFn-<U+03B3> activate B cells to produce strongly opsonizing antibodies belonging to certain IgG subclasses (IgG1 and IgG3 in humans, and their homologs, IgG2a and IgG2b, in the mouse) in type 1 responses.; 475: Affinity maturation is seen largely in IgG antibody (as well as in IgA and IgE, which are not shown) coming from mature B cells that have undergone isotype switching and somatic hypermutation to yield higher-affinity antibodies. The; 476: A primary antibody response is characterized by the initial rapid production of IgM and a slightly delayed IgG response due to time required for class switching (Fig. 11.25).; 464-465: Type 2 adaptive responses also promote production of IgG1, which is recognized by macrophages and engages them in the type 2 response.; 475: Figure 11.24; 476: The secondary antibody response is characterized in its first few days by the production of relatively small amounts of IgM antibody and much larger amounts of IgG antibody, with some IgA and IgE. At the beginning of the secondary response, antibodies are made by memory B cells that were generated in the primary response and have already switched from IgM to another isotype, and that express IgG, IgA, or IgE on their surface.; 466: TFH cells that develop coordinately with TH17 cells promote the production of high-affinity IgG and IgA antibodies by plasma cells that can express CCR6 and thereby localize to sites of type 3 responses in barrier tissues, where they can arm neutrophils and macrophages ‘on-site.’; 476: The secondary response is characterized by a more vigorous and earlier generation of plasma cells than in the primary response, thus accounting for the almost immediate abundant production of IgG (see Fig. 11.25).; 544: Figure 13.5","B (Secrete) IgG","false","Secrete","B (Secrete) IgG","",""
"Antibody production","Secrete","424: Some IgM is produced by conventional B cells that have not undergone class switching, but most is produced by B-1 cells residing in the peritoneal cavity and pleural spaces and by marginal zone B cells of the spleen.; 439: IgM antibodies are produced early in an infection by conventional B cells and are also made in the absence of infection by subsets of nonconventional B cells in particular locations (as natural antibodies).; 476: A primary antibody response is characterized by the initial rapid production of IgM and a slightly delayed IgG response due to time required for class switching (Fig. 11.25).; 476: The secondary antibody response is characterized in its first few days by the production of relatively small amounts of IgM antibody and much larger amounts of IgG antibody, with some IgA and IgE. At the beginning of the secondary response, antibodies are made by memory B cells that were generated in the primary response and have already switched from IgM to another isotype, and that express IgG, IgA, or IgE on their surface.; 196-197: B cells initially express the transmembrane form of IgM; after stimulation by antigen, some of their progeny differentiate into plasma cells producing IgM antibodies, whereas others undergo class switching to express transmembrane immunoglobulins of a different class, followed by the production of secreted antibody of the new class.; 407: Plasma cells are terminally differentiated cells that secrete antibodies. Plasma cells have very low levels of surface immunoglobulin but can express MHC class II molecules and may suppress TFH activity in a negative feedback pathway while differentiating. Early in the immune response they differentiate from unswitched activated B cells and secrete IgM; later in the response they derive from activated B cells that entered the germinal center reaction and underwent class switching and somatic hypermutation.; 475: Figure 11.24; 407: Plasmablasts early in the immune response and those activated by T-independent antigens have usually not undergone somatic hypermutation and class switching, and therefore secrete IgM.; 408: Plasmablasts in primary foci primarily secrete antibodies of the IgM isotype that offer some immediate protection.","B (Secrete) IgM","false","Secrete","B (Secrete) IgM","",""
"Immunosuppression","Secrete","811: Table Appendix III","B (Secrete) IL10","false","Secrete","B (Secrete) IL10","",""
"Immunosuppression","Secrete","812: Table Appendix III","B (Secrete) IL35","false","Secrete","B (Secrete) IL35","",""
